text,true_emotion,predicted_emotion
@TrussElise Obama must be fuming.. lol,anger,joy
@UKBlogAwards @ModishMale I would always be honest but it's great to feedback opinion to the brand - don't want to offend them #BlogHour,anger,sadness
"Taking umbrage because Jimmy Carr claimed that Bilbo Baggins went to Mordor on 8 out of 10 cats does Countdown. Know your Baggins', mate.",anger,anger
"@FluDino Event started! everyone is getting ready to travel to the lake of rage, where everything glows",anger,joy
@danbloom1 beware the fury of a weak king,anger,fear
Eat my ass' is no longer an insult,anger,anger
The rage has died down.,anger,sadness
@ZubairSabirPTI  pls dont insult the word 'Molna',anger,anger
Just joined #pottermore and was sorted into HUFFLEPUFF 😡😡😡 ,anger,anger
"@MaddenFreestyle i turn the game on wanting to play madden, and before i load up a game i just turn it off now.",anger,sadness
Having a baby born too soon is #lifechanging 6 years on and it feels like only yesterday #sad #happy  #emotionalrollercoaster,anger,sadness
"[ @HedgehogDylan ] *she would frown a bit, folding her arms* 'why is it that every time I'm in need of assistance someone expects a lil **",anger,sadness
@komal_sidhnani true...\nThey r burning with other's pleasure!\nPpl in true love happiness everywhere _😃,anger,joy
"(Sam) Brown's Law: Never offend people with style when you can fake that, you have to break us in this Island.",anger,anger
@pbhushan1 @IndianExpress so in your opinion is this the worst delhi govt? #acrid #bitter #hypocrisy,anger,anger
"Anger, resentment, and hatred are the destroyer of your fortune today.",anger,anger
"@gayla_weeks1 I try not to let my anger seep into reviews, but I resent having my time wasted on books like that. Time is precious.",anger,anger
I wouldn't have #anger issues.....if she didn't have #lying issues.....think about that one. #pow #lies #confusion,anger,anger
#oow16 #sting decent new song,anger,joy
Just joined #pottermore and was sorted into HUFFLEPUFF 😡😡😡 #fuming,anger,anger
So about 18mths ago i signed up to @Lumo_Energy for their @VirginAustralia / Velocity FF deal. 18 months in still no FF points ,fear,sadness
@All4 is the android app it designed to be buggy and work sporadically on a fire TV box? ,fear,anger
#Awareness seek #shelter .#Letgo Old #habit of chasing #desires resultin in #anger #fear #worry .#Choose #Satisfaction within #Peace #Relax,fear,fear
Losing to Villa...'@M0tivati0nQuote: Most of the things people worry about are things that won't even matter to them a few months from now.',fear,sadness
@AttentiAlGatto LOL! Why would it scare me? It doesn't make any sense at all but it doesn't scare me! {chuckles},fear,joy
Tweeting from the sporadic wifi on the tube #perilous,fear,fear
Bout ta get my @dontbreathe on up in here! @WarrenTheaters  #icantholdmybreaththatlong,fear,fear
@fatgirlhealthy @MBSCBILL ....so that what do to use violence and intimidation for a polictical agenda.; aka terrorism?,fear,fear
@ChrissyCostanza and have social anxiety. There is many awkward things wrong with me. 😄,fear,sadness
"He called me fat, so I pushed him into the lockers then he threaten to sue me' 😂",fear,anger
@ReaganBattalion That's a terrible thing to accuse Scott Baio of.,fear,sadness
Okay. Brace yourself. I will attempt my first loaf of bread in the morning. I will use a dutch oven. I will make the dough now. #nervous,fear,fear
The moment you bring her to meet your best friend and you're nervous af! 😬😆 #nervous #thefriendtest,fear,fear
@RyanAbe awe yay thank god I was so worried.,fear,joy
"Really.....#Jumanji 2....w/ The Rock, Jack Black, and Kevin Hart...are you kidding me! WTF! #ThisIsATerribleIdea #horrible",fear,anger
"@JeffersonLake speaking of ex cobblers, saw Ricky Holmes at Charlton last week.. tracking back &amp; defending... I dread seeing Gorre on ball..",fear,sadness
@joey_coops yes Hun! Avoid at all costs!! #nightmare,fear,fear
Why upping rooms makes a few apprehend leaving out charcoal ownership: UnZU,fear,sadness
And I cried in front of my guy last night. And it's just been a horrible week but it's only for a week,fear,sadness
So about 18mths ago i signed up to @Lumo_Energy for their @VirginAustralia / Velocity FF deal. 18 months in still no FF points #shocking,fear,anger
@NateBLoL no it was that clear American naturally flavored sparkling water,joy,joy
"@DocBellsSwan *peers down at you, eyes crinkling with mirth and affection* I do love ye so, my bonnie Belle.",joy,joy
"When we give cheerfully and accept gratefully, everyone is blessed. »Maya Angelou",joy,joy
"it gets better. without explanation; you just wake up one morning and you’re just happy, totally and utterly elated.",joy,joy
A lifetime of laughter at the expense of the death of a bachelor,joy,joy
It feels good to get outside for a minute and get some fresh air.  It's hard to stay cooped up inside all day #breezy,joy,joy
Metal keeps you young and spry and keeps your hair luxurious.\n\nYES\n\nSHUT UP AND LISTEN TO ME,joy,anger
"Be it a rainy day, be it cheerful sunshine, I am a Prussian, want nothing to be but a Prussian.:|",joy,sadness
@kwelbyroberts they will come and you will rejoice at their arrival.,joy,joy
"...at your age, the heyday in the blood is tame...' @TheArtofCharm #shakespeareaninsults #hamlet #elizabethan #williamshakespeare",joy,sadness
Chris would take full responsibility and would want us all to rejoice in the memories we all had with him.,joy,joy
A #new day to #live and #smile. Hope all the #followers a nice #night or #day. :D,joy,joy
Each day is what you make of it! #goals #challenges #business #goals #optimism #happy #success #photographer #photography #ThursdayThoughts,joy,joy
@tomderivan73 😁...I'll just people watch and enjoy a rare show of optimism,joy,joy
Somebody who has braved the storm is brewing. ,joy,sadness
@GameGrumps THANK YOU SO MUCH FOR COMING TO DETROIT I'm going to sob joyful rainbows now brb,joy,joy
"@len_snart Mick nods. 'I would like that.' He went back to his food, smiling as he finished it.",joy,joy
@HunterDean_ [he gives a gleeful squeak and wraps around you] All mine!,joy,joy
Val reminds me of one of the cheerful witches that looks after Aurora in Disney’s Sleeping Beauty. #GBBO,joy,joy
It feels good to get outside for a minute and get some fresh air.  It's hard to stay cooped up inside all day ,joy,joy
"@GolfStrat out of Rory starts. What would your B group look like w/o him? Hideki and Walker, and throw Reed or Knox on the pine?",sadness,joy
"@StaceyDavidson_ You're a thief and a liberal mope, investigated by the financial services board for theft of govt retirement funds. THIEF",sadness,anger
you are on an endless journey of figuring yourself out; don't be discouraged when you don't know who you are yet.,sadness,sadness
amateur author Twitter might be the most depressing thing I've ever seen,sadness,sadness
If you #invest in my new #film I will stop asking you to invest in my new film. #concessions #crime #despair #shortsightedness #celebrities,sadness,sadness
@trashcami this cured my depression,sadness,joy
Soooo badly want to dye my hair dark but have never been dark before soooo torn 😭😭😭,sadness,sadness
"@GRIPLIKEAVICE_ I wouldn't mind if it didn't you know, threaten my job when I disagree. Puts a damper on things.",sadness,fear
"@kempicepoland don't think he did, and he didn't have the rucksack or laptop in his possession, murky business, on that note I'm away to bed",sadness,sadness
I feel like an appendix. I don't have a purpose.  #depressed  #alone #lonely #broken  #cry #hurt #crying #life,sadness,sadness
"340:892 All with weary task fordone.\nNow the wasted brands do glow,\nWhilst the scritch-owl, scritching loud,\n#AMNDBots",sadness,sadness
Should of stayed in Dubai 😞,sadness,sadness
Season 3 and Charlie is still a prick! #lost,sadness,anger
Common app just randomly logged me out as I was writing the last part of my college essay and lost all of it 😭😭😭,sadness,sadness
Rooney is 5 yards off the pace in a League Cup game against Northampton Town. Let that sink in for a moment. #MUFC,sadness,sadness
Remembering those day when u still did'nt know kpop n thinking about how sad your life was without it - Kpop fan,sadness,sadness
"@ccrago It was dreadful, even after he met the Catfish he still thought it was her!",sadness,sadness
